sub-id,movie_name,movie_num,scene,text
sub-09,catch_me_if_you_can,1,"5, 6","The first movie that I remember is um the Aviator movie and the beginning there was a game show with three men who claimed they their name is Jack, I forget the name of the character, but three con men."
sub-09,catch_me_if_you_can,1,6,"They, uh, before the age of 19, they were some government official for Georgia, an aviator for a plane, and something to do with a hospital."
sub-09,catch_me_if_you_can,1,"10, 13","And then it goes to a guy named Carl who works with the FBI and he goes to the center, which the guy...maybe Jack...is being held and he tries to talk to Jack through a little tiny hole in the wall that is open."
sub-09,catch_me_if_you_can,1,13,"I think he has some sort of history with Jack, I'm not sure if he was trying to find out information or what."
sub-09,catch_me_if_you_can,1,15,"Jack is being held in a really severe punishment system,"
sub-09,catch_me_if_you_can,1,"16, 17","so Jack pretends to faint, or pretends to get really, really sick and Carl's trying to talk to him and Carl screams for an ambulance or for a doctor so that the other guys come and they bring him to the hospital,"
sub-09,catch_me_if_you_can,1,19,"but then, yeah, all the men put him on the bed and they start washing their hands and Carl said `what are you doing' and the guy said that the doctor is coming the next day and they see that the door to the hospital room just closed,"
sub-09,catch_me_if_you_can,1,20,"so they follow the route and they see that Jack, or whoever the man's name is has left the room, he's not in his bed anymore, and they run after him and they find him crawling on the floor of the prison,"
sub-09,catch_me_if_you_can,1,21,"a bunch of angry and enthusiastic prison men are screaming batting their cages while he's crawling around the floor and then the FBI men walk fastly towards him and one of them puts a gun to Jack's head,"
sub-09,catch_me_if_you_can,1,"22, 23","and Jack goes on the ground and kind of puts his hands and arms out, kind of like he surrenders."
sub-09,catch_me_if_you_can,1,20,"I remember when he's leaving the hospital room, Carl said ""Oh Jack"" kinda like he knows that it's very much like Jack who's the con man, he's able to get himself out of a lot of situations by acting a certain way."
sub-09,the_record,2,2000,"The next movie was the movie about, it was a cartoon movie, I think it was called the Record, and it was a very cute movie."
sub-09,the_record,2,"28, 32","It was a girl, and when she was a young adult, she had red hair, orange hair, and she started eating a pizza and she put a record on and the record of a girl's voice,"
sub-09,the_record,2,33,"and when she was moving the place in the record in the song, whatever that part of the record player is called, she noticed that the pizza is disappearing, and depending on where the record was in its cycle, the pizza was appearing and disappearing."
sub-09,the_record,2,"32, 33","And then scene goes to the box of pizza, the entire pizza is disappearing and reappearing."
sub-09,the_record,2,"36, 37",Then she jumps on the record to different points and the next point that she jumps to is to the time in her life where she's already married because there's a picture frame in the wall of her in a wedding veil and she's pregnant.
sub-09,the_record,2,"37, 38","She looks down at stomach and she's playing around with the record to see her stomach grow and shrink and then she skips to when she was a baby herself and she has a doll in her hand and a playpen there,"
sub-09,the_record,2,40,"and then she skips to when she's an older woman, and she keeps getting, there's this weird electric field that keeps happening in the record, and in her chair she keeps getting thrown away, like she can't reach the record to switch her position again."
sub-09,the_record,2,40,"Then she switches, when she does get to switch her position again she switches to this even older woman using a walker."
sub-09,the_record,2,2000,And that's all I remember of that one.
sub-09,,-1,-1,These are definitely gonna be out of order.
sub-09,the_shoe,4,4000,There was the shoe.
sub-09,the_shoe,4,4000,"It was really cute, it was a man and a woman."
sub-09,the_shoe,4,70,"The man is leaning against some other guy's car, it's not his own car, and in the beginning of the scene it shows a rapper near his feet maybe he just needs something and then he goes up and he's drinking milk, he's looking inside the milk carton."
sub-09,the_shoe,4,"71, 72","And then he sees a girl, catches his attention, that's when some Italian looking man comes over and yells at him about leaning on his car."
sub-09,the_shoe,4,"73, 74","So then the guy starts walking away, but he's still looking at this girl, and then the girl's being cute and starts imitating what the guy's doing."
sub-09,the_shoe,4,75,"So they start, she starts copying moves that he's doing and he goes to put the milk carton on top of the fence and she also raises her hand in the same motion, and then he trips and she trips,"
sub-09,the_shoe,4,76,"this happened before the milk carton thing, and then she does this little dance and he does this little dance, they go back and forth for a while but then they get to the end of the sidewalk,"
sub-09,the_shoe,4,77,"and she realizes that it's the end of the sidewalk and a car is coming on his end, and he doesn't realize it and he continues to walk into the street, trying to entertain her."
sub-09,the_shoe,4,"78, 79","He gets hit by the car, the car flies dramatically, it lands somewhere, and then it goes back to the girl, super surprised and doesn't know how to react,"
sub-09,the_shoe,4,80,"and then it goes down to the shoe, that came out of I guess from the guy who got hit by the car whose shoe also came flying towards her."
sub-09,the_shoe,4,80,"Then it shows another shoe, it's a black shoe, and maybe that was saying that the same thing has happened to her before or to other people before. I don't really know the significance, but..."
sub-09,,-1,-1,Um.. let's see.
sub-09,the_prisoner,7,7000,"The one movie where the guy doesn't know where he is; very well-dressed man, probably takes place in the 50s."
sub-09,the_prisoner,7,7000,He ends up somewhere that's surrounded by mountains
sub-09,the_prisoner,7,"138, 140, 141",and it begins he asks a waitress for the closest phone call is and she gives a little bit of trouble that he finds it and then a million buttons is on it and something like the device he's probably never seen before.
sub-09,the_prisoner,7,144,He dials for a cab and an Asian woman pulls up and tells him it's the local cab and he says just take me as far away as you can.
sub-09,the_prisoner,7,145,"And then she takes him far away, she spoke French to him at first, he didn't understand why and asked and she said that most people speak French so it's kind of safe to do that."
sub-09,the_prisoner,7,145,"And then later on in the conversation she says something about the place being very metropolitan, I think meaning that a lot of people are attracted there or do live there."
sub-09,the_prisoner,7,"145, 146","So then she takes him as far as she can go and lets him out and it costs 2 credits on the charge but I don't think he had that so she let him go and she did the whole signal, see you around or see you later."
sub-09,the_prisoner,7,"147, 148","Then he looks into the window shop and then he walks into the shop and asks the man for a map, and the man says black and white or color and the guy says it doesn't matter."
sub-09,the_prisoner,7,149,"So the man who works there pulls out, he's wearing an apron, pulls out a black and white map, and the black and white map just has wherever he is, surrounded by mountains."
sub-09,the_prisoner,7,149,"And everything is very, very generally described."
sub-09,the_prisoner,7,150,"So he asks for a bigger map and guy takes out the black, the color one, says it's much more expensive, but that map has the same amount of detail."
sub-09,the_prisoner,7,150,The man is getting very frustrated because he doesn't know where he is and the man who worked there said they only have local maps so the whole place seems like they're confining people and people can't really leave the area and it ends.
sub-09,keith_reynolds,5,5000,Oh there was a cartoon movie
sub-09,keith_reynolds,5,86,and it was about the guy who wanted to get a promotion.
sub-09,keith_reynolds,5,5000,His name was Keith?
sub-09,keith_reynolds,5,86,"And then Keith really liked a girl named Sarah, and the entire film is shown in an office building that had at least separate floors to it."
sub-09,keith_reynolds,5,86,And I think Sarah worked in the fourth floor.
sub-09,keith_reynolds,5,85,"Anyway the man, he's a green man, he wore a hat and had a suitcase,"
sub-09,keith_reynolds,5,86,and he always went up to Sarah and gave her a cup of coffee every morning even though she didn't want it because that was part of his plan to someday marry her after he gets his promotion
sub-09,keith_reynolds,5,86,"and when he walks up to the fourth floor she was bent over, which is funny."
sub-09,keith_reynolds,5,"89, 91","He goes into the elevator and looks at his reflection pretty confidently, and then he goes to be talked to by his boss and realizes that he doesn't get a promotion that he thought he was going to get."
sub-09,keith_reynolds,5,"90, 92","Meanwhile another guy a coworker got the promotion and he also goes up to tell Sarah, a very special lady, that he got the promotion."
sub-09,keith_reynolds,5,"92, 93","And Sarah jumps into his arms and they're hugging for a while, then they're making out, and he goes up the elevator to go to Sarah and see if she wants another cup of coffee, sees them making out, and gets really upset."
sub-09,keith_reynolds,5,"93, 94","Then the guy, when he's done making out with Sarah, goes into the elevator, well he asks Keith if he can hold the elevator for him."
sub-09,keith_reynolds,5,95,"Then they're in the elevator together and Keith says he forced himself to take a big breath, and when they got up a few floors, and the thing opened, and the guy was about to leave,"
sub-09,keith_reynolds,5,95,"Keith said three words that he's never said before, probably go f yourself, and then the guy came back into the elevator,"
sub-09,keith_reynolds,5,96,"they started fighting, and then there's blood on the walls of the elevator, and then Keith accidentally, or not accidentally kills the man."
sub-09,keith_reynolds,5,96,He doesn't know what to do so he decides to take the body home while he decides what to do.
sub-09,keith_reynolds,5,97,"And then a woman I think her name was Ruth, on the first floor, needed to go up all the way to the 6th or 7th floor, and was gonna take the elevator, but her new year's resolution said that she should walk up the stairs whenever she can."
sub-09,keith_reynolds,5,97,So she's on her way up the stairs.
sub-09,keith_reynolds,5,"98, 99","Meanwhile Keith is trying to drag the body down the stairs and eventually they run into each other and then the woman, maybe Ruth, faints."
sub-09,keith_reynolds,5,"99, 100","Keith saw her eyes roll to the back of her head, then he continues dragging the body and eventually he's,"
sub-09,keith_reynolds,5,100,"what happens, oh I think Sarah goes up to that same floor to try to see the guy who just got the promotion and she uses some excuse to go up and see him."
sub-09,keith_reynolds,5,"100, 103","She gets up there and she sees Keith dragging his body, and then Keith thinks that maybe she likes a silent man so maybe he won't say anything,"
sub-09,keith_reynolds,5,104,"he doesn't really know what to say and then Sarah faints, so Keith said that maybe dead bodies have that sort of effect on women."
sub-09,keith_reynolds,5,101,"And he takes the body and I think he starts going down a ladder that's outside of the building,"
sub-09,keith_reynolds,5,87,"oh I remember that one of the first things that happened is that when Keith brought coffee up to Sarah, the speaker's making a point that Sarah never drinks his coffee, and she dumps it outside the window and it hit a guy and the guy fell."
sub-09,keith_reynolds,5,102,And then different people saw the man fall through the window.
sub-09,keith_reynolds,5,101,"Anyway, back to Keith dragging the body down the ladder on the outside of the building."
sub-09,keith_reynolds,5,"105, 106","And then after he got down the ladder he's appalled and sees a man who works there and he's been working there for 8 years, and he's never seen this man before."
sub-09,keith_reynolds,5,106,"And he's pondering life and how any man probably wants the things the he wants, like a good job, a nice wife, yada yada yada."
sub-09,keith_reynolds,5,106,"Then, yeah he had like a very interesting moment there swaying back and forth on the ladder, and it ends."
sub-09,bus_stop,10,182,"Another scene that stands out to me is the scene where towards the end of all the movies I've watched, the guy, who's probably young 20's, it's the middle of the day,"
sub-09,bus_stop,10,182,"it doesn't seem like he's really doing anything, there's a bag of strawberry something, a box of strawberries something within a bag he's holding, and he has his headphones on."
sub-09,bus_stop,10,183,"And there's a woman who pulls up at the car and she gets out to use the payphone while her car, I guess it's in neutral, starts rolling away, and the payphone I guess is not working."
sub-09,bus_stop,10,185,"She's wearing like this floral open shirt, she runs over to the guy who's on the curb with headphones and she asks to use his phone."
sub-09,bus_stop,10,187,"So she starts using his phone when she's on the phone,"
sub-09,bus_stop,10,188,"she's like yelling at whoever she's on the phone with saying that I'm going to turn you into the police, she's really frantic, and she's really upset, has no shoes on, she's in the middle of the street,"
sub-09,bus_stop,10,189,"and then she gets so angry at the phone call that she throws the phone at the ground, breaks the phone."
sub-09,bus_stop,10,190,"So then, the guy goes over to his phone, and was like, miss miss miss, are you going to pay for this?"
sub-09,bus_stop,10,190,Like at least 60 dollars and she's completely ignoring him because she's very much in a really dangerous mental place right now I guess.
sub-09,bus_stop,10,192,And then some car pulls up and it's under the bridge and for a while the camera shows the back of the head's man in the car and he's got an earring under his left ear.
sub-09,bus_stop,10,192,"And he's wearing, he kind of unzips his suit and tie, I guess he's coming from work, he has a red car."
sub-09,bus_stop,10,194,"And anyway, the woman starts walking towards the car and the guy with the headphones is following her, still asking for money for his phone."
sub-09,bus_stop,10,"195, 196, 198","And they get up to the car and the guy walks out and him and the woman are having, they're bickering, and the man is asking the woman if the woman told the other guy with the headphones who he is."
sub-09,bus_stop,10,198,"And she's saying I'm not sure if she responded to that, but basically she said that he's a friend of hers, so the guy thought that they're somehow related, I'm not really sure, somehow associated."
sub-09,bus_stop,10,197,"And then the guy, the woman keeps asking the man in the car where is she where is she and he's not answering her."
sub-09,bus_stop,10,200,"And then she pulls out a gun, and then I think she's got red curly hair."
sub-09,bus_stop,10,201,"Then he does a magic trick, and the gun comes out."
sub-09,bus_stop,10,199,Oh that happens after the guy was like did you tell him who I am and then the kid was like oh you're the magician from whatever show and then she's your assistant.
sub-09,bus_stop,10,"200, 201","So yes, later on when she draws the gun, then he creates it from his magic, they're pointing it at each other and threatening."
sub-09,bus_stop,10,201,He asks if it's loaded and she doesn't answer.
sub-09,bus_stop,10,201,He asks if it's loaded before he pulls out his own gun.
sub-09,bus_stop,10,202,And then at some point she shoots at this guy to indicate that it is loaded.
sub-09,bus_stop,10,"204, 206","And anyway the guy walks over to the kid with headphones, and pulls out this really weird box that's wrapped in cloth and the box is like a tiny coffin with a cross on it, and inside is a skeleton, probably of a little frog."
sub-09,bus_stop,10,206,"And then the guy starts doing this weird magic trick voodoo thing, starts saying this chant to the kid, and the kid's watching."
sub-09,bus_stop,10,206,"And the guy says it wrong, and the kid falls to the ground, the guy says son of a bitch, I guess he said it wrong."
sub-09,bus_stop,10,210,"He pulls out the words on it and he's repeating it to himself, trying to see where his mistake was."
sub-09,bus_stop,10,207,"Meanwhile the woman is trying to find, she hears the girl that she's been asking for."
sub-09,bus_stop,10,"205, 207","She hears the girl moaning or making some noises and then she goes over to the trunk and then she sees, you don't really see the girl in the trunk, but you see the woman's expression and she's really flabbergasted."
sub-09,bus_stop,10,211,And then the woman goes over to the guy and she shoots him.
sub-09,bus_stop,10,212,"Then he falls to the ground, and right before he dies, he shoots her back."
sub-09,bus_stop,10,213,"Meanwhile the kid with the headphones is on the ground from the spell, he starts barking like a dog, he's acting like a dog, and he's responding to the barks of another dog."
sub-09,bus_stop,10,"214, 215",And then the girl appears and she's also acting like a dog and it was the girl that was in the car trunk and so they're barking at each other and sniffing each other and acting like dogs together
sub-09,bus_stop,10,10000,"and I guess what happened was that the man probably did a magic trick, he's probably practicing a magic trick on the woman's daughter, or a girl that was special to the woman,"
sub-09,bus_stop,10,10000,"and the woman got really upset about it, but he made the exact same mistake on the kid with the headphones and it ends there."
sub-09,the_boyfriend,3,43,"Oh there's the robot one where a woman with short hair, dark hair and dark eyes, she's sitting at a long table on the long side across from her boyfriend, it's called the boyfriend."
sub-09,the_boyfriend,3,"43, 44","She, it's pretty quiet between the two of them, and she asks the boyfriend if he wants to drink white wine and he says he doesn't want to drink because he has a big day tomorrow at work, I think he has a client or something the next day."
sub-09,the_boyfriend,3,44,"And the woman's trying to talk to him and she's clearly not driving with him very well, not getting along with him."
sub-09,the_boyfriend,3,44,I think she's really upset with him.
sub-09,the_boyfriend,3,44,"And when he says that he won't drink, she throws a little bit of a tantrum and says like you're a computer, you should relax."
sub-09,the_boyfriend,3,"45, 49",She throws her drink at him and then after they start fighting.
sub-09,the_boyfriend,3,45,"And that happens after she pours herself two full glasses of wine, and now she chugs the first one, almost rubbing in his face that she's going to drink one for him."
sub-09,the_boyfriend,3,43,"Meanwhile he's looking at his silverware, continuing to eat his food."
sub-09,the_boyfriend,3,"45, 48, 49","Anyways when she throws her wine at his face, he starts lighting his cigarette, so she goes over, she's just furious, she takes the cigarette and goes to the sink and puts the cigarette out, the rule that nobody can smoke in her house."
