sub-id,movie_name,movie_num,scene,text
sub-12,catch_me_if_you_can,1,1000,Catch Me If You Can.
sub-12,catch_me_if_you_can,1,5,"The segment opens on a, what appears to be a mid-70s game show, titled “To Tell the Truth.”"
sub-12,catch_me_if_you_can,1,5,"It opens with the announcer introducing 3 gentlemen who walk from backstage, each identically dressed in the uniform of an airline pilot."
sub-12,catch_me_if_you_can,1,"6,7","He's introduced as Frank Abagnale, who was a con artist posing as an airline pilot, a pediatrician, and a third position, I can't recall."
sub-12,catch_me_if_you_can,1,8,"They take a seat on the side of the stage, and a contestant, an older women with brown hair, asks the first of the Frank Abagnales why he had chosen to live as a con artist rather than with a legitimate career,"
sub-12,catch_me_if_you_can,1,8,and he replies that it was a matter of dollars and cents.
sub-12,catch_me_if_you_can,1,9,She goes on to ask the second Abagnale who it was that finally caught him.
sub-12,catch_me_if_you_can,1,9,And he replies that it was an FBI agent named Carl Hanratty.
sub-12,catch_me_if_you_can,1,10,And the segment then switches to Carl Hanratty in the rain outside a jail in Marseilles France.
sub-12,catch_me_if_you_can,1,10,He's trying to explain to the prison administration that he's there to see Frank Abagnale.
sub-12,catch_me_if_you_can,1,"11,13","They admit him into the prison, and he's able to speak to Frank through a small slot in the prison cell."
sub-12,catch_me_if_you_can,1,13,"Frank is covered in a blanket with much longer hair than seen in the first segment, and he's coughing heavily."
sub-12,catch_me_if_you_can,1,14,Carl reads from what seems to be a worn prison arrest.
sub-12,catch_me_if_you_can,1,16,Frank begins to cough heavily and collapses.
sub-12,catch_me_if_you_can,1,"17,19","Carl asks the prison guard to get a doctor to remove Frank from his cell, to remove Frank from his cell and bring him to a hospital bed, and they tell Carl that a doctor would not be available until the next day."
sub-12,catch_me_if_you_can,1,19,"Frank says that if, Carl says that if Frank dies under their watch, he will hold them responsible."
sub-12,catch_me_if_you_can,1,20,"Meanwhile, Frank has escaped from the hospital,"
sub-12,catch_me_if_you_can,1,21,"and down the hall of the main section of the prison, where the other inmates are encouraging his escape."
sub-12,catch_me_if_you_can,1,23,"He's pursued by the guards,"
sub-12,catch_me_if_you_can,1,24,"and one of the guards finally holds a gun to the back of his head,"
sub-12,catch_me_if_you_can,1,25,"whereupon Frank again collapses,"
sub-12,catch_me_if_you_can,1,26,"and tells Carl, “Let’s go home.”"
sub-12,the_record,2,2000,The Record.
sub-12,the_record,2,28,We see a computer-animated segment with a young woman sitting in an apartment.
sub-12,the_record,2,"28,29","She's about to eat a slice of pizza, when she hears a knock on the door."
sub-12,the_record,2,"30,31","She goes to answer the door, there's no one there, but there is a small package, which she takes inside, opens, and sees it is a small 45 record."
sub-12,the_record,2,"32,33,34","She puts it on the record player, and begins to eat her pizza but sees that a segment of it already appears to have been eaten."
sub-12,the_record,2,"35,36","By accident she discovers that the further the song progresses, the further into the future it will take her, and she experiments with this so that, over the course of the segment, it brings her a few years into the future, where she's in a nicer apartment and pregnant."
sub-12,the_record,2,-1,And then later..
sub-12,the_record,2,"37,38","she pushes the song further into the future so that she has her child in her arms, but as it’s crying, it seems to annoy her, and she brings the song closer to its beginning, which pushes her into her childhood."
sub-12,the_record,2,39,"Then finally further into the future, where she's in a wheelchair, has difficulty approaching the record to change her position in time,"
sub-12,the_record,2,40,"and finally brings her further into the future, where she's a much older woman on a walker, and she's trying to approach the record in time to stop the song from ending."
sub-12,the_record,2,41,"She can't make it in time, and the segment ends with the woman as an urn of ashes."
sub-12,the_boyfriend,3,3000,The Boyfriend.
sub-12,the_boyfriend,3,42,The segment is subtitled High Maintenance.
sub-12,the_boyfriend,3,43,It opens with a man and a woman sitting at opposite ends of a long dinner table.
sub-12,the_boyfriend,3,43,They're eating in silence.
sub-12,the_boyfriend,3,44,The woman goes to pour the man a glass of wine.
sub-12,the_boyfriend,3,44,"He covers the glass with his hand, and says that he cannot drink."
sub-12,the_boyfriend,3,45,The woman in retaliation pours herself two glasses of wine.
sub-12,the_boyfriend,3,46,"The man remarks that the asparagus is tender, to which she replies that it is an aphrodisiac."
sub-12,the_boyfriend,3,46,"The man asks, “Who says so?” and she replies, “It’s just something people say.”"
sub-12,the_boyfriend,3,47,She throws a glass of wine in his face.
sub-12,the_boyfriend,3,48,He lights a cigarette.
sub-12,the_boyfriend,3,48,He snubs the cigarette out at the other end of the room.
sub-12,the_boyfriend,3,49,They're arguing.
sub-12,the_boyfriend,3,49,It was their marriage anniversary.
sub-12,the_boyfriend,3,49,"She insults him, and later sees he’s upset."
sub-12,the_boyfriend,3,"50,51","She sits on his lap to console him, while with her hand moves behind his neck to turn off a switch that is there, and the man seems to be deactivated."
sub-12,the_boyfriend,3,53,"We learn that he was a robot, and we see the woman on the computer, looking at other models of robot."
sub-12,the_boyfriend,3,55,She finally selects and orders one that she likes.
sub-12,the_boyfriend,3,57,It arrives shortly thereafter.
sub-12,the_boyfriend,3,"58,59,60","They remove the older model, but she first kisses him and removes the wedding ring, and places it on the newer one."
sub-12,the_boyfriend,3,"61,62,63","The opening scene seems to repeat with much of the same dialogue, but with a much more favorable rapport to the woman."
sub-12,the_boyfriend,3,"64,65","The man makes his way over to the other side of the table and begins to massage her shoulders,"
sub-12,the_boyfriend,3,66,"and finally pulling the switch on the back of her neck, revealing her to also be a robot,"
sub-12,the_boyfriend,3,67,"and whereupon he relaxes, lights a cigarette, and watches television."
sub-12,the_shoe,4,4000,The Shoe.
sub-12,the_shoe,4,69,"There's a text on the screen saying, “How do they get there?” with an image of a shoe on the pavement."
sub-12,the_shoe,4,70,"You see it belongs to a man, who’s leaning against a car and drinking a carton of milk."
sub-12,the_shoe,4,72,"The owner in the car, the owner of the car, a older gentleman in a tank top, shoos the man away,"
sub-12,the_shoe,4,73,"and he goes walking down the sidewalk,"
sub-12,the_shoe,4,74,"where he notices a girl on the opposite side of the street in a red sweater, who begins to imitate his movements."
sub-12,the_shoe,4,76,"They go back and forth, imitating various gestures."
sub-12,the_shoe,4,"77,78","When the girl begins to warn him of an oncoming car, which he interprets as a new gesture to imitate and is hit by the car,"
sub-12,the_shoe,4,80,and his shoe gets knocked off and goes flying through the air and lands on the side of the curb.
sub-12,the_shoe,4,80,"The camera pans down the curbside, where we see another shoe, presumably from an earlier similar incident."
sub-12,the_rock,6,6000,The Rock.
sub-12,the_rock,6,111,"There is a large mountain, I'm assuming in the Prehistoric Age."
sub-12,the_rock,6,112,"It’s a very sleepy mountain, and as time passes,"
sub-12,the_rock,6,"113,114","the mountain gets reduced to the size of a hill, on which a tree is growing, and some men cut down the tree to begin building a cabin."
sub-12,the_rock,6,115,And the rock is annoyed by the noise and gets himself up and moves over to a mountainside.
sub-12,the_rock,6,116,"And he's pulled from the mountainside and hitched to a mule, where he is fashioned into a millstone,"
sub-12,the_rock,6,"117,118","and then later is taken by soldiers, fashioned into a cannonball,"
sub-12,the_rock,6,119,"fired at a ship, broken into a number of pieces, and then as the fragment settles in a river."
sub-12,the_rock,6,"123,124",He's later found by an archaeologist with a fossilized crustacean on his back and displayed in a museum.
sub-12,the_rock,6,"124,125","An excited child, pounding against the glass of the exhibit, pushes the rock"
sub-12,the_rock,6,125,"down into a garbage chute, I believe."
sub-12,the_rock,6,"129,131,133","He's finally reduced to a grain of sand, which is collected and fashioned into a lens"
sub-12,the_rock,6,134,"that is to be a part of a satellite, which is shot into space,"
sub-12,the_rock,6,"135, 136","crashes, and enters upon a different planet, very much like the scene at the beginning, and he's formed as a mountain again and finally gets to sleep."
sub-12,the_prisoner,7,7000,The Prisoner.
sub-12,the_prisoner,7,138,We see a man dressed all in black.
sub-12,the_prisoner,7,138,He approaches a woman in a cafe.
sub-12,the_prisoner,7,138,He's asking where he is.
sub-12,the_prisoner,7,140,"She's unable to help him, and he finds his way over to a telephone."
sub-12,the_prisoner,7,141,"He wants to make a phone call, but he does not know a number, and the operator disconnects."
sub-12,the_prisoner,7,"143,144","At an information board, he is able to summon a taxi, which can only take him within the town itself."
sub-12,the_prisoner,7,"147,148","He gets out of the taxi and enters a general store, where he asks for a map."
sub-12,the_prisoner,7,147,"It’s a very multicultural, cosmopolitan kind of town."
sub-12,the_prisoner,7,145,"The taxi driver appears to be Asian, and she addressed the man in black in both English and French, and they mention the Poles and Czechs."
sub-12,the_prisoner,7,147,"The keeper of the general store, I believe, was addressing customer in Italian."
sub-12,the_prisoner,7,148,He asks the storekeeper for a map.
sub-12,the_prisoner,7,149,"The storekeeper first produces a small one in black and white, which only shows the local area, but surrounded by mountains."
sub-12,the_prisoner,7,150,The man in black asks for a larger map.
