movie_name,movie_num,seg_num,seg_start_time,subseg_num,subseg_start_time,text
cartoon_intro_1,12,1,0.0,1,,not annotated
cartoon_intro_1,12,2,0.34,1,,not annotated
catch_me_if_you_can,1,3,0.41,1,0.41,The title CATCH ME IF YOU CAN appears on screen.
catch_me_if_you_can,1,4,0.44,1,0.44,The words Inspired by a true story fade into the screen as the sound of an audience applauding begins.
catch_me_if_you_can,1,5,0.4700000000000001,1,0.47,"The scene opens to a game show where the words To Tell The Truth occupy the camera. The main game show host introduces the program with ""Thank you very much, and welcome to To Tell the Truth."""
catch_me_if_you_can,1,5,0.4700000000000001,2,0.52,"The doors on the back of the show set open as three men in pilot uniforms walk out onto stage. The host begins with ""Our first guest. He's made a career out of being the most outrageous imposter that we've ever come across on this show. And you're going to see what I mean."""
catch_me_if_you_can,1,6,0.59,1,0.59,"The game show introduces the contestants: ""Number one, what is your name please?"". The camera zooms in on contestant number one as he says ""My name is Frank William Abignail."" The camera moves to contestant number 2 as the host prompts him: ""Number two."" The middle guy responds: ""My name is Frank William Abignail."" Finally on the hosts words of  ""Number three"" the camera zooms in on contestant number 3 to which the contestant replies ""My name is Frank William Abignail."""
catch_me_if_you_can,1,7,1.11,1,1.11,"The host begins to describe the imposter as the camera zooms in on the first contestant. He says, ""From 1964 to 1967 I successfully impersonated an airline pilot for Pan Am Airways and I flew over two million miles for free..."""
catch_me_if_you_can,1,7,1.11,2,1.21,"The camera moves to the second contestant as the host continues: ""..During that time, I was also the chief resident pediatrician at a Georgia hospital..."""
catch_me_if_you_can,1,7,1.11,3,1.27,"The camera moves to the third contestant as the host adds ""..and an assistant attorney general for the State of Louisiana..."""
catch_me_if_you_can,1,7,1.11,4,1.32,"The camera zooms out to view all three contestants while the host says ""...By the time I was caught, I was considered the youngest and most daring con man in U.S. history. I had cashed almost $4 million in fraudulent checks in 26 foreign countries and all 50 states. And I did it all..."""
catch_me_if_you_can,1,7,1.11,5,1.43,"The contestants move over to their seats as the host finishes with ""...before my 19th birthday. My name is Frank William Abagnail."""
catch_me_if_you_can,1,8,1.4899999999999998,1,1.49,The audience applauses. The three contestants reach their seats and sit down.
catch_me_if_you_can,1,8,1.4899999999999998,2,1.55,"The camera cuts to the host. He explains ""So, for the first time he's going to have to tell the truth and we're going to start our questioning with Kitty."""
catch_me_if_you_can,1,8,1.4899999999999998,3,1.59,"The camera cuts to kitty as she begins speaking: ""Thank you. Number One, why, with all your talent, and you're obviously a very bright fellow, why didn't you go in for a..."""
catch_me_if_you_can,1,8,1.4899999999999998,4,2.04,"As Kitty continues the camera moves to cuts to contestant number one. She finishes ""...legitimate profession?"" Contestant number one responds with ""It was really a question of dollars and cents. When I was a young man, I needed the money and I thought this list of careers was the easiest way to get it."""
catch_me_if_you_can,1,9,2.14,1,2.14,"Kitty responds with ""I see."" The camera moves to the second contestant as she asks ""Number Two, I find this all very fascinating. Who was it that finally caught you?"" The second contestant leans into the mike and answers ""His name was Carl Hanratty."""
catch_me_if_you_can,1,10,2.23,1,2.23,"The scene cuts to one of men standing outside in the rain. In a French accent the man keep repeating ""Han-an-an-ratty. Ratty."""
catch_me_if_you_can,1,10,2.23,2,2.27,"The camera moves to a view of all the men who are talking. In an American accent one man replies ""Han-ratty. Carl Hanratty."""
catch_me_if_you_can,1,10,2.23,3,2.31,"The camera cuts to a close up of one of the man's mouth as he enunciates ""Yes. -I... am... Carl Hanratty."""
catch_me_if_you_can,1,10,2.23,4,2.36,"Next, the camera shows a view of Hanratty's back as he continues to speak to the French men. He states, ""I represent the FBI from the United States of America. Yeah. I have orders to see the American prisoner, Abagnale."" The French men continue to speak during this time to each other in French."
catch_me_if_you_can,1,10,2.23,5,2.46,"The camera is now a wide shot of the men talking. The words Marseille, France Christmas Eve, 1969 appear on screen."
catch_me_if_you_can,1,11,2.49,1,2.49,Through a hole in the door three men can be seen. The first one opens the lock to the door.
catch_me_if_you_can,1,11,2.49,2,3.0,The men begin to walk through the open door and down a dark hallway. During the walk the first man grabs a chair and places down at the end of the hallway.
catch_me_if_you_can,1,12,3.12,1,3.12,"As Hanratty walks over to the first man, the french man explains ""You sit here. You do not open the door. You do not pass him..."""
catch_me_if_you_can,1,12,3.12,2,3.21,"The French officer opens a latch on the door and continues ""anything through the hole."" Then the French officer walks away to speak to his colleague as Hanratty sits on the stool."
catch_me_if_you_can,1,13,3.31,1,3.31,"Through the gate of the window a close of Hanratty is shown. He says ""Aw... Jesus."", as loud coughing can be heard from the cell."
catch_me_if_you_can,1,13,3.31,2,3.37,The camera cuts to a view of the prisoner in the cell. He slowly sinks down to the floor all the while coughing.
catch_me_if_you_can,1,13,3.31,3,3.42,Another view of Hanratty is shown from his back. He gets up from the stool and turns around to see one of the prison guards standing there. He looks up to hear thunder and drips coming from the ceiling.
catch_me_if_you_can,1,13,3.31,4,3.48,Hanratty opens his umbrella before sitting down on the stool again.
catch_me_if_you_can,1,13,3.31,5,3.54,The camera cuts back to the prisoner inside the cell. His coughing gets worse as he gags.
catch_me_if_you_can,1,13,3.31,6,3.58,"Hanratty fills the screen as the camera cuts back to him. He tells the prisoner ""You know, I've got a little bit of a cold myself."""
catch_me_if_you_can,1,13,3.31,7,4.0,The camera cuts back to the prisoner as he wheezes and coughs more.
catch_me_if_you_can,1,14,4.02,1,4.02,"Hanratty is heard saying ""Frank...I'm here to read the articles of extradition..."""
catch_me_if_you_can,1,14,4.02,2,4.04,"The camera moves back to show Hanratty's back from a wide view of the hallway. He pulls something from his bag and begins to read ""according to the European Court for Human Rights. Article One: Extradition..."""
catch_me_if_you_can,1,14,4.02,3,4.09,"A cut to Hanratty's face the grated window appears as he continues ""...shall be granted in respect of offenses punishable under the laws..."""
catch_me_if_you_can,1,14,4.02,4,4.11,"The camera cuts to the prisoner. Weakly he mumbles ""Help me."" multiple times. Hanratty continues ""...for the maximum period of at least one year of a severe penalty..."""
catch_me_if_you_can,1,14,4.02,5,4.15,"The camera cuts to the view of Hanratty's face. He stops reading as Frank continues to mumble ""Help me."""
catch_me_if_you_can,1,15,4.19,1,4.19,"Hanratty says ""Frank... stop it."""
catch_me_if_you_can,1,15,4.19,2,4.22,"Frank's stare comes into view as he says ""Help me"" again."
catch_me_if_you_can,1,15,4.19,3,4.24,"Hanratty simply responds with ""You don't think actually you can fool me, do you?"""
catch_me_if_you_can,1,15,4.19,4,4.27,"Frank thumps back against the wall of the cell. Meanwhile, Hanratty says ""Sixteen pages to go, stay with me."""
catch_me_if_you_can,1,16,4.31,1,4.31,"The camera cuts back to Hanratty's face, he continues to read ""Article Two: If..."""
catch_me_if_you_can,1,16,4.31,2,4.33,"A shot of Hanratty with his umbrella outside cell appears. He reads ""... the request for extradition includes several separate offenses each of which is punishable under the laws..."""
catch_me_if_you_can,1,16,4.31,3,4.36,"The camera cuts back to Frank. He coughs some more then collapses. Hanratty reads ""...of the requesting party..."""""
catch_me_if_you_can,1,17,4.39,1,4.39,"The camera cuts to Hanratty as he looks up. He asks ""Frank?...Frank?"""
catch_me_if_you_can,1,17,4.39,2,4.46,"A wide shot of the hallway is show as Hanratty gets up from the stool. He kicks the stool over and the French guard walks over. The camera zooms to Hanratty's face as he speaks: ""Goddamn it! Get me a doctor in here! I need a doctor! Doctor! Now!"""
catch_me_if_you_can,1,18,4.53,1,4.53,"The scene changes to one of the French guards carrying a sunken Frank down another hallway. Hanratty tells him ""Don't sweat it, Frank. We're going to get you right to a doctor. Frank, if you can hear me, don't worry. I'm going to take you home in the morning. Home in the morning, Frank."" The group reaches the hospital room where they deposit Frank face down on the bed."
catch_me_if_you_can,1,19,5.05,1,5.05,"The men exit the room. All of the French guards begin to wash their hands. Hanratty asks the guards ""What are you doing?"" One replies, ""Washing off the lice."" Hanratty begins to explain ""This man has to be on a plane for America. He has to see a doctor."" The French guard ignores his comments and states ""The doctor comes in tomorrow."""
catch_me_if_you_can,1,19,5.05,2,5.16,"Hanratty walks closer to the French man speaking and says ""I have worked too long, too hard for you to take this away from me. If he dies, I'm holding you responsible."
catch_me_if_you_can,1,20,5.24,1,5.24,The men turn to see a metal door begin to shut. One of the French guards walks over to it. He then walks over to the hospital curtain surrounding the bed.
catch_me_if_you_can,1,20,5.24,2,5.3,"The guard quickly opens the curtain to find that Frank is no longer on the bed. The guard yells to another ""Monsieur!"". All of the guards quickly run out of the room Hanratty remains and says ""Ah Frank"" to himself."
catch_me_if_you_can,1,21,5.38,1,5.38,The scene opens to prisoners banging metal objects against a wire fence and yelling. Frank comes running slowly down the hallway while bending over and coughing.
catch_me_if_you_can,1,22,5.45,1,5.45,Frank slows down and begins to fall. He quickly tries to recover and get on his feet.
catch_me_if_you_can,1,23,5.5,1,5.5,Frank is unable to get up and slowly starts crawling forward. Guards appear in the background walking.
catch_me_if_you_can,1,23,5.5,2,5.54,The camera cuts to the back of Frank. He glances back and notices the guards behind him. He tries to quicken his pace.
catch_me_if_you_can,1,23,5.5,3,5.56,The camera cuts back to the guards. It follows them as they begin to approach Frank.
catch_me_if_you_can,1,24,6.03,1,6.03,"One official pulls out a gun and puts it to Frank's head. He get up onto his knees and looks up. Meanwhile, the guards yell at the other prisoners to keep quiet."
catch_me_if_you_can,1,25,6.11,1,6.11,Frank throws his hands up and leans back giving up his escape.
